business_product_id;product_type;parent_product_ids;name;name_or_number;discriminator;street;house_number;box_number;postal_code;city_name;lat;long;x;y;promotional_region;changed_time;last_status_change_date;phone1;phone2;phone3;email;website;status;comfort_class;number_of_units;maximum_capacity;normal_capacity;tent_capacity;number_of_short_term_camping_spots;number_of_touristic_camping_spots;number_of_camper_stands;number_of_camping_spots;number_of_residence_units;number_of_long_term_camping_spots;number_of_residence_units_for_rental;number_of_hikers_huts;iconic_cycling_route_label
406910;BASE;;'t Foche;;GENERIC_ROOMS;RECTOR DE SOMERPLEIN;14B;bus 01;3000;Leuven;50.8789787292;4.7030320168;173525.49640567822;174343.450364843;kunststadLeuven;14/04/2026 13:23:02;09/03/2025 05:23:19;+32497879583;;;yannick.werbrouck@outlook.com;http://airbnb.be/h/tfoche;NOTIFIED;;1;2;;;;;;;;;;;
406394;BASE;;A Plus Studio;;HOLIDAY_COTTAGE;SPAARSTRAAT;71;;3010;Kessel-Lo;50.880013;4.722355;174884.83293110665;174464.82546547707;kunststadLeuven;15/01/2026 23:18:09;04/02/2025 10:18:24;;;;guido.doucet@gmail.com;;NOTIFIED;;1;4;;;;;;;;;;;
414474;BASE;;Airbnb Christine ;Airbnb Christine;GENERIC_ROOMS;SINT-BARBARASTRAAT;3;0408;3000;Leuven;50.8779258728;4.6981091499;173179.56289152024;174224.77590211574;kunststadLeuven;26/05/2026 11:51:01;26/05/2026 11:48:25;+32473937568;;;christine.jageneau@hotmail.com;;NOTIFIED;;1;2;;;;;;;;;;;
413022;BASE;;Airbnb Kurt;;HOLIDAY_COTTAGE;KOPERSLAGERIJ;20;;3010;Kessel-Lo;50.883267;4.723037;174931.09535348765;174827.03145006485;kunststadLeuven;06/06/2026 09:37:03;19/02/2026 11:42:24;+32497742530;;;kurt.accou@gmail.com;https://www.airbnb.be/rooms/33013295?search_mode=regular_search&adults=1&check_in=2026-08-23&check_out=2026-08-28&children=0&infants=0&pets=0&photo_id=1924732796&source_impression_id=p3_1780738137_P3F6_SZVN96DR7pf&previous_page_section_name=1000&federated_search_id=430b1dd0-78bd-4f74-bba7-dcec8c47891f;NOTIFIED;;1;4;;;;;;;;;;;
398740;BASE;;Akuta City Flat Leuven;;HOLIDAY_COTTAGE;IJZERENMOLENSTRAAT;6;;3001;Heverlee;50.87265;4.687884;172462.46683874822;173634.7305049477;kunststadLeuven;15/01/2026 21:45:23;24/06/2024 04:01:35;+32496524271;;;karlienvanparys@gmail.com;https://www.booking.com/hotel/be/akuta-city-flat-leuven.nl.html;ACKNOWLEDGED;FOUR_STARS;1;4;;;;;;;;;;;
412013;BASE;;Allies Avenue;;HOLIDAY_COTTAGE;BONDGENOTENLAAN;17C;0101;3000;Leuven;50.8796348572;4.7043733597;173619.56448690474;174416.86581896618;kunststadLeuven;17/02/2026 20:52:01;17/02/2026 19:48:13;;;;margovoets@hotmail.com;;ACKNOWLEDGED;THREE_STARS;1;2;;;;;;;;;;;
304270;BASE;;Ambassador Suites Leuven 001;;GENERIC_ROOMS;SINT-MAARTENSTRAAT;12;D001;3000;Leuven;50.880987;4.706006;173733.77689179865;174567.80145232473;kunststadLeuven;16/01/2026 01:09:43;18/12/2017 23:00:54;;;;;;ACKNOWLEDGED;;1;5;;;;;;;;;;;
304271;BASE;;Ambassador Suites Leuven 002;;GENERIC_ROOMS;SINT-MAARTENSTRAAT;12;002;3000;Leuven;50.880987;4.706006;173733.77689179865;174567.80145232473;kunststadLeuven;16/01/2026 01:09:44;18/12/2017 23:21:13;;;;;;ACKNOWLEDGED;;1;3;;;;;;;;;;;
304272;BASE;;Ambassador Suites Leuven 003;;GENERIC_ROOMS;Sint-Maartenstraat ;12;003;3000;Leuven;50.8810015;4.706159;173834.759468186;174509.169703188;kunststadLeuven;16/01/2026 01:09:44;18/12/2017 23:25:00;;;;;;ACKNOWLEDGED;;1;5;;;;;;;;;;;
211074;BASE;;Ambassador Suites Leuven 101;;GENERIC_ROOMS;Sint-Maartenstraat;12D;101;3000;Leuven;50.8810015;4.706159;173834.759468186;174509.169703188;kunststadLeuven;16/01/2026 04:15:50;18/12/2017 22:55:24;+3213296215;+32476050500;;sales@be-housing.be;https://www.be-housing.be/;ACKNOWLEDGED;;1;6;;;;;;;;;;;
